slug,asset,duration,start,start_ts,slot,resolved_up,price_to_beat,final_price,n_snapshots,n_pc,n_trades_msgs,coverage_start_rel,coverage_end_rel,format,n_files,usable,reason,bba_n,bba_agree_rate,mid_-60,spread_-60,depth_best_bid_-60,depth_best_ask_-60,mid_-30,spread_-30,depth_best_bid_-30,depth_best_ask_-30,mid_+0,spread_+0,depth_best_bid_+0,depth_best_ask_+0,mid_+30,spread_+30,depth_best_bid_+30,depth_best_ask_+30,mid_end,n_trades,gap_m30,seconds
btc-updown-15m-1790397000,btc,15m,2026-09-26 04:30:00+00:00,1790397000,1989330,True,83886.9,,608,133226,303,124.31,1020.05,1,1,False,pas de carnet à S−60 s (collecte commencée trop tard),1448,0.98895,,,,,,,,,,,,,,,,,,303,-1.75695e-05,4.85251
btc-updown-5m-1790397000,btc,5m,2026-09-26 04:30:00+00:00,1790397000,1989330,True,83886.9,83906.6,710,29301,355,124.242,420.021,1,1,False,pas de carnet à S−60 s (collecte commencée trop tard),794,0.926952,,,,,,,,,,,,,,,,,,355,-1.75695e-05,1.05348
eth-updown-5m-1790397000,eth,5m,2026-09-26 04:30:00+00:00,1790397000,1989330,True,2685.97,2686.65,146,22336,71,124.304,419.693,1,1,False,pas de carnet à S−60 s (collecte commencée trop tard),822,0.987835,,,,,,,,,,,,,,,,,,71,1.83627e-05,0.865279
btc-updown-5m-1790397300,btc,5m,2026-09-26 04:35:00+00:00,1790397300,1989330,True,83906.6,83910.8,3584,157162,1791,-159.753,418.504,1,1,True,,5070,0.993294,0.53,0.02,35,125,0.535,0.03,42.06,100.32,0.285,0.01,12.91,56.22,0.205,0.01,116,329.26,,1791,-1.65638e-06,6.10674
eth-updown-5m-1790397300,eth,5m,2026-09-26 04:35:00+00:00,1790397300,1989330,True,2686.65,2686.76,586,93350,292,-151.547,418.808,1,1,True,,4566,0.997372,0.535,0.01,22.63,65.29,0.535,0.01,20.5,60.87,0.31,0.4,204,5,0.225,0.01,92.6,41,,292,-2.48083e-06,3.14462
eth-updown-5m-1790397600,eth,5m,2026-09-26 04:40:00+00:00,1790397600,1989330,True,2686.76,2688.29,184,33420,91,-163.03,419.714,1,1,True,,1818,0.987899,0.525,0.01,62.97,50.64,0.535,0.01,30,19.51,0.705,0.37,60.88,204,0.565,0.01,50,107.42,,91,7.29391e-05,1.09046
btc-updown-5m-1790397600,btc,5m,2026-09-26 04:40:00+00:00,1790397600,1989330,True,83910.8,83961.4,1330,77644,663,-143.23,420.021,1,1,True,,1766,0.984145,0.515,0.01,24.79,40,0.545,0.01,8,73.36,0.565,0.05,35.1,99.22,0.535,0.01,100,328.02,,663,-7.54708e-08,2.6571
btc-updown-5m-1790397900,btc,5m,2026-09-26 04:45:00+00:00,1790397900,1989331,True,83961.4,83971.9,1678,108884,836,-127.769,420.024,1,1,True,,2246,0.982191,0.505,0.01,201.91,2.51,0.515,0.01,126.65,90.53,0.59,0.02,50.32,10,0.635,0.01,287.35,50,,836,-4.76368e-08,3.94077
eth-updown-5m-1790397900,eth,5m,2026-09-26 04:45:00+00:00,1790397900,1989331,True,2688.29,2688.79,548,61721,273,-129.483,419.634,1,1,True,,3618,0.997789,0.495,0.01,14.89,5,0.505,0.01,10,30,0.515,0.07,20.41,30,0.465,0.01,12.14,131.23,,273,-4.5127e-05,2.08602
btc-updown-15m-1790397900,btc,15m,2026-09-26 04:45:00+00:00,1790397900,1989331,True,83961.4,,914,178575,445,-138.948,1019.06,2,2,True,,2970,0.971044,0.505,0.01,238.58,85,0.505,0.01,250.26,58.03,0.51,0.02,35,42.41,0.575,0.01,60,424.44,,445,-4.76368e-08,5.41257
